=== BQBYTE SUPPLY CHAIN — SUPPLIER PERFORMANCE DATA (Authoritative RAG Source) ===
NOTE: Metrics below are averaged across all purchase orders per supplier.
Total POs in dataset: 2000 | Total suppliers: 116 | Total spend: $399,563,494.10

=== REGIONAL SPEND BREAKDOWN (Section 5.3 Concentration Risk) ===
Total annual procurement spend: $399,563,494.10
EMEA: $193,987,179.91 (48.5% of total) *** BREACHES 45% concentration cap — Diversification Plan required within 60 days (Policy §5.3) ***
APAC: $131,620,356.14 (32.9% of total) — within limit
LATAM: $83,971,664.94 (21.0% of total) — within limit
NA: $46,330,792.78 (11.6% of total) — within limit
Highest region by PO value: EMEA at $193,987,179.91 (48.5%) — BREACHES the 45% regional cap.
No single country exceeds 25% limit.

=== PRODUCT CATEGORY DEFECT RATE ANALYSIS ===
Tier-2 maximum defect rate: 2.50% (Policy §3.2)
Category Packaging Materials: average defect rate 1.909% across 429 POs — BELOW Tier-2 limit of 2.50%
Category Mechanical Components: average defect rate 1.893% across 329 POs — BELOW Tier-2 limit of 2.50%
Category Raw Materials: average defect rate 1.713% across 360 POs — BELOW Tier-2 limit of 2.50%
Category Industrial Textiles: average defect rate 1.708% across 275 POs — BELOW Tier-2 limit of 2.50%
Category Specialty Alloys: average defect rate 1.606% across 327 POs — BELOW Tier-2 limit of 2.50%
Category Electronic Components: average defect rate 1.591% across 280 POs — BELOW Tier-2 limit of 2.50%
Highest average defect rate category: Mechanical Components at 2.12% across 360 POs — below Tier-2 ceiling of 2.50% (no breach, but approaching limit)

=== VOLUME REBATE PROGRAM QUALIFIERS — 19 SUPPLIERS (Policy §4.2) ===
Criteria: Tier-1 AND average OTD >= 93% AND average Defect Rate < 0.5% AND average Sustainability Score >= 85
Total qualifying suppliers: 19
VOLUME REBATE ELIGIBLE: SUP-062 Borealis Composites | Tier-1 | Region:EMEA | Country:Denmark | Category:RM
VOLUME REBATE ELIGIBLE: SUP-102 Crestline Chemical Supply | Tier-1 | Region:NA | Country:USA | Category:RM
VOLUME REBATE ELIGIBLE: SUP-103 Fenwick Alloy Solutions | Tier-1 | Region:NA | Country:USA | Category:SA
VOLUME REBATE ELIGIBLE: SUP-023 Hanguk Circuit Works | Tier-1 | Region:APAC | Country:South Korea | Category:EC
VOLUME REBATE ELIGIBLE: SUP-028 Hokkaido Alloy Tech | Tier-1 | Region:APAC | Country:Japan | Category:SA
VOLUME REBATE ELIGIBLE: SUP-046 Krauss-Polymex GmbH | Tier-1 | Region:EMEA | Country:Germany | Category:RM
VOLUME REBATE ELIGIBLE: SUP-105 Lakeshore Components | Tier-1 | Region:NA | Country:USA | Category:MC
VOLUME REBATE ELIGIBLE: SUP-054 Lumivex Semiconductor NL | Tier-1 | Region:EMEA | Country:Netherlands | Category:EC
VOLUME REBATE ELIGIBLE: SUP-112 Maplewood Polymer Corp | Tier-1 | Region:NA | Country:Canada | Category:RM
VOLUME REBATE ELIGIBLE: SUP-058 Norbec Alloy Works | Tier-1 | Region:EMEA | Country:Norway | Category:SA
VOLUME REBATE ELIGIBLE: SUP-060 Nordloom Finland Oy | Tier-1 | Region:EMEA | Country:Finland | Category:IT
VOLUME REBATE ELIGIBLE: SUP-001 Orrentek Precision Mfg | Tier-1 | Region:APAC | Country:China | Category:EC
VOLUME REBATE ELIGIBLE: SUP-064 Ostwind Composites AG | Tier-1 | Region:EMEA | Country:Austria | Category:RM
VOLUME REBATE ELIGIBLE: SUP-033 PrecisionForge Taiyuan | Tier-1 | Region:APAC | Country:Taiwan | Category:MC
VOLUME REBATE ELIGIBLE: SUP-056 Solveig Eco Packaging | Tier-1 | Region:EMEA | Country:Sweden | Category:PM
VOLUME REBATE ELIGIBLE: SUP-037 Straits Packaging Hub | Tier-1 | Region:APAC | Country:Singapore | Category:PM
VOLUME REBATE ELIGIBLE: SUP-043 Tasman Circuit Boards | Tier-1 | Region:APAC | Country:Australia | Category:EC
VOLUME REBATE ELIGIBLE: SUP-051 Toreval Electronics | Tier-1 | Region:EMEA | Country:France | Category:EC
VOLUME REBATE ELIGIBLE: SUP-066 Valdoro Special Alloys | Tier-1 | Region:EMEA | Country:Italy | Category:SA
Rebate amount: 2.5% of total annual invoice value, assessed in January each year.

=== SUPPLIER WATCH LIST (SWL) — 11 SUPPLIERS (Policy §3.4) ===
Criteria: Compliance Score < 60 at any audit — restricts new PO issuance to 20% of prior quarter volume
SWL STATUS: SUP-018 Deltaforge Vietnam | Region:APAC | Country:Vietnam | Tier-3 | Compliance Score:62
SWL STATUS: SUP-080 Maghreb Castworks | Region:EMEA | Country:Morocco | Tier-3 | Compliance Score:62
SWL STATUS: SUP-079 Helios Pack Greece | Region:EMEA | Country:Greece | Tier-3 | Compliance Score:60
SWL STATUS: SUP-095 Cerromax Mineria | Region:LATAM | Country:Peru | Tier-3 | Compliance Score:53
SWL STATUS: SUP-100 Orinoco Pack SAPI | Region:LATAM | Country:Venezuela | Tier-3 | Compliance Score:61
SWL STATUS: SUP-078 Varna Electronics EAD | Region:EMEA | Country:Bulgaria | Tier-3 | Compliance Score:58
SWL STATUS: SUP-101 Quetzal Textiles | Region:LATAM | Country:Guatemala | Tier-3 | Compliance Score:67
SWL STATUS: SUP-090 Plataforma Metales SA | Region:LATAM | Country:Argentina | Tier-3 | Compliance Score:68
SWL STATUS: SUP-041 Archipelago PCB Corp | Region:APAC | Country:Philippines | Tier-3 | Compliance Score:75
SWL STATUS: SUP-011 Dravex Components India | Region:APAC | Country:India | Tier-3 | Compliance Score:74
SWL STATUS: SUP-045 Sibertek Molding | Region:APAC | Country:Russia | Tier-3 | Compliance Score:70
Total SWL suppliers: 11
SWL restriction: New PO issuance limited to 20% of prior quarter volume (Policy §3.4)

=== TIER-3 SUPPLIERS WITH ACTIVE DISRUPTION FLAGS — 11 SUPPLIERS (Policy §9) ===
All High Risk Tier-3 suppliers with disruption flag → Level 3 Activate per Policy §9
Level 3 Activate: CPO escalation + alternate supplier at minimum 40% volume within 10 days + safety stock +50% + RCA within 15 days
TIER-3 DISRUPTION: SUP-011 Dravex Components India | Region:APAC | Risk:High | Disruption:Typhoon season disruption | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-090 Plataforma Metales SA | Region:LATAM | Risk:High | Disruption:Export license risk | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-080 Maghreb Castworks | Region:EMEA | Risk:Medium | Disruption:Tariff adjustment pending | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-079 Helios Pack Greece | Region:EMEA | Risk:High | Disruption:Labour strike risk | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-095 Cerromax Mineria | Region:LATAM | Risk:High | Disruption:Audit overdue; compliance review | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-100 Orinoco Pack SAPI | Region:LATAM | Risk:High | Disruption:Audit overdue; compliance review | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-101 Quetzal Textiles | Region:LATAM | Risk:Medium | Disruption:Seasonal flood risk | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-045 Sibertek Molding | Region:APAC | Risk:High | Disruption:Port closure risk | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-041 Archipelago PCB Corp | Region:APAC | Risk:High | Disruption:Labour strike risk | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-078 Varna Electronics EAD | Region:EMEA | Risk:Medium | Disruption:Port congestion risk | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-018 Deltaforge Vietnam | Region:APAC | Risk:Medium | Disruption:Port congestion risk | Response: Level 3 Activate
Total Tier-3 suppliers with active disruption: 11
Note: Labour strikes (SUP-079, SUP-041) and export control restrictions (SUP-090) are mandatory Level 3 regardless of risk level per Policy §9

=== ALL 116 SUPPLIER PROFILES (averaged metrics across all POs) ===
Supplier SUP-001 | Orrentek Precision Mfg | Region:APAC | Country:China | Category:Electronic Components | Tier:Tier-1 | Risk:Low | Avg OTD:95.7% | Avg Defect:0.87% | Avg Compliance:86 | Avg Sustainability:81 | Active Disruptions:None | Alt Supplier:SUP-006 | Certifications:ISO9001;ISO14001;RoHS | Total PO Value:$939,643.31 [REBATE ELIGIBLE]
Supplier SUP-002 | Zhenlong ElectroCo | Region:APAC | Country:China | Category:Electronic Components | Tier:Tier-2 | Risk:Medium | Avg OTD:84.9% | Avg Defect:1.56% | Avg Compliance:78 | Avg Sustainability:64 | Active Disruptions:Regulatory audit pending | Alt Supplier:SUP-114 | Certifications:ISO9001;RoHS | Total PO Value:$3,923,690.41
Supplier SUP-003 | Wanlong Composites Ltd | Region:APAC | Country:China | Category:Raw Materials | Tier:Tier-2 | Risk:High | Avg OTD:88.0% | Avg Defect:1.79% | Avg Compliance:80 | Avg Sustainability:70 | Active Disruptions:Audit overdue; compliance review | Alt Supplier:SUP-081 | Certifications:ISO9001 | Total PO Value:$6,882,034.93
Supplier SUP-004 | Yangtze Fiber Materials | Region:APAC | Country:China | Category:Industrial Textiles | Tier:Tier-2 | Risk:Medium | Avg OTD:87.5% | Avg Defect:1.62% | Avg Compliance:81 | Avg Sustainability:63 | Active Disruptions:Geopolitical tension flag | Alt Supplier:SUP-034 | Certifications:OEKO-TEX;ISO9001 | Total PO Value:$1,429,755.28
Supplier SUP-005 | Huabei Circuit Systems | Region:APAC | Country:China | Category:Electronic Components | Tier:Tier-1 | Risk:Medium | Avg OTD:93.7% | Avg Defect:0.94% | Avg Compliance:90 | Avg Sustainability:84 | Active Disruptions:Geopolitical tension flag | Alt Supplier:SUP-088 | Certifications:ISO9001;AEC-Q100;RoHS | Total PO Value:$908,603.80
Supplier SUP-006 | Dongfeng Castings Co | Region:APAC | Country:China | Category:Mechanical Components | Tier:Tier-2 | Risk:Low | Avg OTD:86.6% | Avg Defect:1.82% | Avg Compliance:76 | Avg Sustainability:67 | Active Disruptions:None | Alt Supplier:SUP-036 | Certifications:ISO9001;IATF16949 | Total PO Value:$2,186,462.26
Supplier SUP-007 | Longhua Polymer Works | Region:APAC | Country:China | Category:Raw Materials | Tier:Tier-3 | Risk:Medium | Avg OTD:71.2% | Avg Defect:2.77% | Avg Compliance:62 | Avg Sustainability:49 | Active Disruptions:None | Alt Supplier:SUP-103 | Certifications:ISO9001 | Total PO Value:$7,102,925.23
Supplier SUP-008 | Shengda Pack Industries | Region:APAC | Country:China | Category:Packaging Materials | Tier:Tier-2 | Risk:High | Avg OTD:88.2% | Avg Defect:1.96% | Avg Compliance:76 | Avg Sustainability:68 | Active Disruptions:Export license risk | Alt Supplier:SUP-028 | Certifications:FSC;ISO9001 | Total PO Value:$884,286.30
Supplier SUP-009 | Tianhe Alloy Group | Region:APAC | Country:China | Category:Specialty Alloys | Tier:Tier-2 | Risk:Medium | Avg OTD:87.0% | Avg Defect:1.88% | Avg Compliance:81 | Avg Sustainability:63 | Active Disruptions:Seasonal flood risk | Alt Supplier:SUP-106 | Certifications:ISO9001 | Total PO Value:$8,739,796.90
Supplier SUP-010 | Bohai Electronics | Region:APAC | Country:China | Category:Electronic Components | Tier:Tier-3 | Risk:High | Avg OTD:71.3% | Avg Defect:3.40% | Avg Compliance:62 | Avg Sustainability:43 | Active Disruptions:Typhoon season disruption | Alt Supplier:SUP-002 | Certifications:ISO9001;RoHS | Total PO Value:$3,436,726.31
Supplier SUP-011 | Dravex Components India | Region:APAC | Country:India | Category:Mechanical Components | Tier:Tier-3 | Risk:High | Avg OTD:72.3% | Avg Defect:3.27% | Avg Compliance:66 | Avg Sustainability:45 | Active Disruptions:Typhoon season disruption | Alt Supplier:SUP-042 | Certifications:ISO9001 | Total PO Value:$3,236,970.20 [SWL] [TIER3-DISRUPTION-LEVEL3]
Supplier SUP-012 | Bharat Precision Works | Region:APAC | Country:India | Category:Mechanical Components | Tier:Tier-2 | Risk:High | Avg OTD:86.8% | Avg Defect:1.59% | Avg Compliance:80 | Avg Sustainability:63 | Active Disruptions:Currency volatility flag | Alt Supplier:SUP-046 | Certifications:ISO9001;IATF16949 | Total PO Value:$2,031,103.65
Supplier SUP-013 | IndoTech Fab Ltd | Region:APAC | Country:India | Category:Electronic Components | Tier:Tier-2 | Risk:Medium | Avg OTD:86.8% | Avg Defect:1.90% | Avg Compliance:79 | Avg Sustainability:63 | Active Disruptions:None | Alt Supplier:SUP-042 | Certifications:ISO9001;RoHS | Total PO Value:$3,752,327.43
Supplier SUP-014 | Deccan Polymer Mfg | Region:APAC | Country:India | Category:Raw Materials | Tier:Tier-3 | Risk:Low | Avg OTD:73.2% | Avg Defect:2.65% | Avg Compliance:61 | Avg Sustainability:45 | Active Disruptions:None | Alt Supplier:SUP-080 | Certifications:ISO9001 | Total PO Value:$7,223,092.80
Supplier SUP-015 | Narmada Pack Solutions | Region:APAC | Country:India | Category:Packaging Materials | Tier:Tier-2 | Risk:Medium | Avg OTD:86.8% | Avg Defect:1.92% | Avg Compliance:79 | Avg Sustainability:70 | Active Disruptions:Geopolitical tension flag | Alt Supplier:SUP-071 | Certifications:FSC;ISO9001 | Total PO Value:$1,013,910.11
Supplier SUP-016 | Konkan Textile Mills | Region:APAC | Country:India | Category:Industrial Textiles | Tier:Tier-2 | Risk:Low | Avg OTD:86.0% | Avg Defect:1.73% | Avg Compliance:77 | Avg Sustainability:68 | Active Disruptions:None | Alt Supplier:SUP-085 | Certifications:OEKO-TEX;ISO9001 | Total PO Value:$2,363,910.72
Supplier SUP-017 | Sahyadri Alloy Tech | Region:APAC | Country:India | Category:Specialty Alloys | Tier:Tier-3 | Risk:High | Avg OTD:73.4% | Avg Defect:2.86% | Avg Compliance:62 | Avg Sustainability:49 | Active Disruptions:Export license risk | Alt Supplier:SUP-114 | Certifications:ISO9001 | Total PO Value:$16,178,106.95
Supplier SUP-018 | Deltaforge Vietnam | Region:APAC | Country:Vietnam | Category:Mechanical Components | Tier:Tier-3 | Risk:Medium | Avg OTD:73.0% | Avg Defect:2.61% | Avg Compliance:64 | Avg Sustainability:47 | Active Disruptions:Port congestion risk | Alt Supplier:SUP-073 | Certifications:ISO9001 | Total PO Value:$3,060,089.67 [SWL] [TIER3-DISRUPTION-LEVEL3]
Supplier SUP-019 | Saigon Precision Works | Region:APAC | Country:Vietnam | Category:Electronic Components | Tier:Tier-2 | Risk:Low | Avg OTD:87.1% | Avg Defect:1.55% | Avg Compliance:77 | Avg Sustainability:68 | Active Disruptions:None | Alt Supplier:SUP-040 | Certifications:ISO9001;RoHS | Total PO Value:$3,475,625.36
Supplier SUP-020 | MeKong Pack Co | Region:APAC | Country:Vietnam | Category:Packaging Materials | Tier:Tier-3 | Risk:Medium | Avg OTD:71.0% | Avg Defect:2.86% | Avg Compliance:61 | Avg Sustainability:49 | Active Disruptions:Geopolitical tension flag | Alt Supplier:SUP-095 | Certifications:FSC;ISO9001 | Total PO Value:$1,312,164.75
Supplier SUP-021 | HanoiTex Industries | Region:APAC | Country:Vietnam | Category:Industrial Textiles | Tier:Tier-2 | Risk:Low | Avg OTD:86.0% | Avg Defect:1.72% | Avg Compliance:80 | Avg Sustainability:65 | Active Disruptions:None | Alt Supplier:SUP-023 | Certifications:OEKO-TEX;ISO9001 | Total PO Value:$1,873,122.00
Supplier SUP-022 | DaNang Metal Works | Region:APAC | Country:Vietnam | Category:Mechanical Components | Tier:Tier-3 | Risk:High | Avg OTD:72.5% | Avg Defect:2.89% | Avg Compliance:61 | Avg Sustainability:49 | Active Disruptions:Typhoon season disruption | Alt Supplier:SUP-101 | Certifications:ISO9001 | Total PO Value:$2,771,851.75
Supplier SUP-023 | Hanguk Circuit Works | Region:APAC | Country:South Korea | Category:Electronic Components | Tier:Tier-1 | Risk:Low | Avg OTD:94.2% | Avg Defect:1.15% | Avg Compliance:89 | Avg Sustainability:79 | Active Disruptions:None | Alt Supplier:SUP-067 | Certifications:ISO9001;AEC-Q100 | Total PO Value:$1,110,894.35 [REBATE ELIGIBLE]
Supplier SUP-024 | Seoultech Micro | Region:APAC | Country:South Korea | Category:Electronic Components | Tier:Tier-2 | Risk:Medium | Avg OTD:86.1% | Avg Defect:1.83% | Avg Compliance:82 | Avg Sustainability:67 | Active Disruptions:Geopolitical tension flag | Alt Supplier:SUP-058 | Certifications:ISO9001;RoHS | Total PO Value:$3,297,535.58
